집계일자,출발영업소코드,도착영업소코드,출발영업소명,도착영업소명,도착지방향1종교통량,도착지방향2종교통량,도착지방향3종교통량,도착지방향4종교통량,도착지방향5종교통량,도착지방향6종교통량,도착지방향총교통량,출발지방향1종교통량,출발지방향2종교통량,출발지방향3종교통량,출발지방향4종교통량,출발지방향5종교통량,출발지방향6종교통량,출발지방향총교통량,Unnamed: 19
20220909,287,298,송악,서산,644,2,5,0,9,19,679,216,6,0,1,3,7,233,
20220909,287,520,송악,평택,454,2,3,1,32,25,517,297,3,1,0,16,12,329,
20220909,287,540,송악,청북,71,4,6,7,21,2,111,204,0,4,2,11,5,226,
20220909,287,732,송악,행담도,219,4,4,0,2,19,248,195,2,4,0,2,17,220,
20220909,288,253,당진,서서울,1891,2,27,2,1,82,2005,1739,1,15,2,5,67,1829,
20220909,288,254,당진,군자,195,0,6,0,0,8,209,156,2,2,0,0,4,164,
20220909,288,257,당진,홍성,1253,2,6,0,0,26,1287,164,2,0,0,1,3,170,
20220909,288,259,당진,대천,603,2,5,0,0,13,623,124,1,5,0,2,4,136,
20220909,288,281,당진,매송,139,0,0,1,0,10,150,113,0,1,1,0,5,120,
20220909,288,282,당진,비봉,237,0,1,0,0,9,247,157,0,1,1,0,7,166,
20220909,288,283,당진,발안,110,0,1,0,1,2,114,174,2,0,0,0,1,177,
20220909,288,285,당진,서평택,139,1,2,2,5,7,156,1076,9,6,6,6,39,1142,
20220909,288,287,당진,송악,501,9,10,3,4,21,548,458,1,5,1,1,25,491,
20220909,288,298,당진,서산,2499,12,17,6,7,75,2616,392,4,2,5,3,13,419,
20220909,288,520,당진,평택,310,4,32,0,3,15,364,261,1,20,0,0,15,297,
20220909,288,732,당진,행담도,113,1,1,0,0,3,118,92,4,1,0,0,3,100,
20220909,289,135,마산,경주,377,0,4,0,0,12,393,248,2,6,2,3,8,269,
20220909,289,138,마산,양산,115,7,2,0,2,6,132,170,9,3,3,0,5,190,
20220909,289,139,마산,서울산,113,1,1,1,0,3,119,227,0,0,0,1,9,237,
20220909,289,140,마산,부산,751,6,5,1,0,19,782,1653,5,2,2,3,29,1694,
